"id"	"parent_id"	"ident"	"title_en"	"title_fr"
1	0	"all"	"All items"	"Tous les articles"
1000	1	"games"	"Games"	"Jeux"
1100	1000	"official-games"	"Official games"	"Jeux officiels"
1200	1000	"derivative-games"	"Derivative games"	"Jeux dérivés"
2000	1	"av"	"Audio / Video"	"Audio / Vidéo"
2100	2000	"music"	"Music CD"	"CD musique"
2200	2000	"video"	"Video DVD"	"DVD vidéo"
3000	1	"books"	"Written materials"	"Publications"
3100	3000	"manga"	"Manga / Novels"	"Manga / Romans"
3200	3000	"illust"	"Illustration Books"	"Livres d'illustrations"
3300	3000	"doujinshi"	"Doujinshi"	"Doujinshi"
4000	1	"goods"	"Goods"	"Goodies"
4100	4000	"figures"	"Figures"	"Figurines"
4200	4000	"wall"	"Posters / Wall scrolls"	"Posters / Scrolls muraux"
4300	4000	"apparel"	"Apparel"	"Vêtements"
4400	4000	"mousepad"	"Mouse pads"	"Tapis de souris"
4500	4000	"mugs"	"Mugs"	"Tasses"
4600	4000	"straps"	"Pins / Badges / Staps"	"Pin's / Badges / Straps"
4700	4000	"clearfile"	"Clearfiles"	"Pochettes"
4800	4000	"shitajiki"	"Shitajiki"	"Shitajiki"
4900	4000	"misc"	"Misc."	"Divers"
